"순번","민원제목","민원내용","민원등록일","민원수정일","민원답변일","처리부서","진행상태","민원인주소_법정동"
"21","제설책임에 대한 답변내용을 보고나서","!--StartFragment--

p class=""""HStyle0""""먼저 주민들의 요청에 따라 늦게라도 도로위에 염화칼슘을 뿌려주신 것에 대해 감사드립니다./p

p class=""""HStyle0""""br/p

p class=""""HStyle0""""“군수에게 바란다” 게시판에 들어가면 “소통하겠습니다. 군민이 중심이 되는 행복 장수” 문구가 눈에 들어옵니다. “군민이 중심이 되는 행복 장수”를 만들기 위하여 예산주민참여제도, 직소민원함 등 군민과 소통하고자 하는 제도들을 도입하여 운영하고 있습니다./p

p class=""""HStyle0""""br/p

p class=""""HStyle0""""군의 예산주민참여제도 도입 홍보가 있어 2015.8월경 마을주민이 마을 급경사도로에 “동절기 자동염수살포장치 설치”에 대하여 2016년 예산에 편성 반영하여 줄 것을 건의하였지만, 경제건설과 등 관련부서 2016년 세출예산서를 확인해 보았지만 반영되지 아니한 것으로 생각됩니다. 이렇듯 아무리 좋은 제도도 진정으로 군민들의 애로에 귀를 기울이지 않는다면 보여주기식 행정이라고 밖에 볼 수가 없습니다./p

p class=""""HStyle0""""br/p

p class=""""HStyle0""""급경사도로만 제설해줄 것을 요청한 사항에 대한 군의 답변내용을 보면서 주민들의 안전사고 방지 및 생활불편 해소를 위해 진정성 있는 노력을 하고 있다는 생각이 전혀 들지 않았습니다. 처음에는 제설불가 사유중의 하나로 제설대형덤프트럭이 마을내로 진입할 수 없다고 하였고, 도로 폭이 일반도로와 비슷하여 납득이 안간다고 하니 급경사등으로 인해 제설이 어려워 제설을 해 줄 수 없다고 하였습니다. 그래서 마지막으로 제설이 어려운지 시험제설을 해보았느냐는 물음에 관내의 많은 도로제설 때문에 제설 여력이 없다는 식으로 답변하였습니다. 아주 제설 성능이 좋은 것으로 알고 있는 군 제설덤프차량이라면 채 3분도 걸리지 않을 것으로 생각드는데 말입니다. /p

p class=""""HStyle0""""br/p

p class=""""HStyle0""""겨울철에 장수군 마을중 지나칠 정도로 폭설이 내리는, 온도가 매우 낮아 눈이 잘 녹지 않는 우리 마을의 경우 10도 이상의 급경사도로로 인하여 겨울철만 되면 홍역을 치르고 있습니다. 2013년 입주후 매년 제설이 되지 않아 급경사도로에서의 자동차 사고, 주민들의 낙상사고 등이 빈발하였고, 유조차 통행 불가로 난방보일러 기름이 떨어져 주유소에 직접 가서 플라스틱 통에 기름을 넣어와 그 경사도로를 거쳐 운반하였던 주민도 있었던 것으로 알고 있습니다./p

p class=""""HStyle0""""br/p

p class=""""HStyle0""""그 급경사도로는 군에서 조성한 군 소유 도로로 관련법령상 주민이 아닌 군에서 제설할 책임이 있는 도로임을 파악했음에도 불구하고 해결책이 없는, 주민들의 안전에는 아랑곳하지 않는 답변만 반복하고 있습니다. 군에서 트랙터차량 부착용 제설장비를 마을에 보급해주었기 때문에 제설을 해줄 수 없다고 하는데, 문제는 해당설비를 부착하여 그 위험한 경사도로를 제설할 대형덤프트럭 내지 대형트랙터가 마을에 없기 때문에 아무런 소용이 없는 설비를 제공해준 것에 불과합니다. 그러한 소용없는 해당설비를 반납하면 제설해줄 것인지에 대해서도 아무런 답변도 하지 않고 있습니다. 주민이 보유한 1톤 트럭차량으로 그 위험한 경사도로의 제설이 가능하다고 보는지 궁금합니다. 군에서 이 모든 사항을 알고 있음에도 불구하고 해결책이 없는 답변만 반복하니 주민들의 안전사고를 방지하고 불편해소를 위해 노력하고 있다는 생각이 전혀 들지 않는 것입니다. 주민들의 안전과 관련된 사항을 최우선적으로 해결해주는 것이 군민이 중심이 되는 행복한 장수라는 군수님의 운영철학과도 부합되는 것이 아닌지요. /p

p class=""""HStyle0""""/p

p class=""""HStyle0""""앞에서 언급한 급경사도로에 대해 군의 성능좋은 제설차량으로 제설해줄 의향이 없다면 일반적으로 회계연도중에 2~3회의 추경예산 편성이 있으므로 다음 겨울철이 오기 전에 급경사도로에 자동염수살포장치 또는 열선 포설 등 근본적인 해결방안을 마련하여 조치하여 주시길 요청드립니다./p

p class=""""HStyle0""""br/p

p class=""""HStyle0""""참고로 급경사도로에 눈쌓인 모습의 사진과 급경사도로 진입불가로 마을 진입전 눈길도로위에 주차되어 있는 차량들에 대한 사진을 첨부합니다./p","2016-02-10","","2016-02-16","대외협력","처리완료","등촌로51길"
"22","[안전신고] (SPP-1604-1123326)도로 파임","전라북도 부안군 줄포면 우포리 516-4도로 파임","2016-04-29","","2016-05-03","건설교통과","처리완료","마곡중앙로"
"23","변산면 마포리 205-3번지 무허가건물 관련","변산면 마포리 205-3번지 무허가건물 관련*스캔 참고","2018-04-13","","2018-04-23","민원소통과","처리완료","방화대로23길"
"24","고용지원복지플러스센터 직원분에 관해서 입니다","다른분들은 어떤지 모르겠지만 취업패키지 상담 담당자분이 너무 융통성이 없으신거 같습니다.제 사정을 모르는것도 아니신데 제가 담당자분을 봤을때 충분히 융통성으로 조절 가능할거 같은데안되는 이유도 말씀 안해주시고 막무가내로 안된다고만 하시니 전 급한 상황인데 너무 답답합니다.화도 많이 납니다. 여기에 써도 되는지 모르겠지만 고용지원복지센터 홈페이지엔 복잡하게 되어있어서검색 해보니 다른분들도 올리셨길래 올립니다.어떻게 되진 않겠지만 답답한 마음에 올려봅니다.","2018-07-22","2018-07-22","2018-07-25","민생경제과","처리완료","양천로"
"25","(SPP-1703-2200062)배수로 청소","전라북도 부안군 상서면 장동리 1115배수로 청소","2017-03-22","","2017-03-28","상서면","처리완료","양천로"
"26","군장대교 잔여부지 매입관련 문의드립니다.","군장대교 건설시 일부토지 매수 후 남은 잔여부지(금동1-12, 금동 1-21)에 대하여 문의하고자 합니다.시에서는 잔여부지를 광장부지로 선정하여 현재 재산권을 행사할 수 없을 뿐만아니라 군장대교 건설시 건설업체에서 부지를 무단으로 사용하였으나 시와 관련된 일이여서 사용토록 협조해주었습니다.시에서는 이 광장부지 조성에대하여 어떻게 진행되고 있는지 알고싶어 문의남깁니다.","2016-10-27","2016-10-27","2016-11-03","직소민원팀","처리완료","화곡로"
"27","송학동 더샵@신축 건물소음과먼지","아파트 바로 앞 공사현장 때문에 한달넘게 잠을못자네요일요일아침 겨우잠들었는데 너우시끄러워 두시간도못자고ㅜㅜ한달넘게 생활하는데 너무힘이드네요시청에 전화했더니 이미공사가 진행되서 어쩔수없다는답변날이 더워공사를 일찍시작한다는데지금당장 저건물이 안올라가면 무슨일이 나는것도 아니고더우시면 날씨 선선해지면 공사를 진행하셔야되는거아닌가요?일요일아침인데 새벽6시에 공사진행하는건 건물주에 이기적인행동 아닌가요?소음도그렇고 먼지때문에도 너무힘드네요공사할때 바리게이트 이런거 치고해야하는거 아닌가요법적으로 공사시간이 정해져있는게 아니라고하면 날씨 시원해지면 공사진행하는게 맞다고봅니다잠깐잠깐 시끄러운것도아니고 매일아침 6시30분만되면 이렇게 시끄러우면살수있겠어요.영상에 보이는것처럼 저희 집 바로앞이라 일하시는분들이 하시는말까지 다들리고  미칠꺼같네요","2016-08-14","2016-08-14","2016-08-19","녹색환경과","처리완료","낙성대로15길"
"28","더러운거리","쓰래기불법투기금지라고안내현수막을설치했지만보란듯이버리는 사람 아무런조치도없는시청행정들 정말안타깝네요 깨끗한 익산시의 거리를위해 빠른조치부탁합니다","2017-11-26","2017-11-26","2017-11-30","청소자원과","처리완료","서림5길"
"29","도서관 운영의 문제점","영등도서관 이용하는 시민입니다. 지하1층 식당을 자주 이용하는데,  주먹구구식 운영에 대한 민웡입니다. 점심시간을 전후로 사람들이 붐비는데, 음식이 주문 순서대로 나오지 않습니다. 10분전에 시켰는데 주인과 아는 사람인 듯한 사람이 먼저 받아가는 경우도 있었고, 손님이 없는데, 주문을 알리지 않아 30분을 기다린 경우도 있습니다. 오늘은 저보다 늦게 주문한 3명의 사람이 먼저 받아가 한참을 기다려습니다.  저뿐만 아니라 다른 시민들도 이러한 경우를 종종 보는데 개선되지 않습니다. 번호표라도 발행하면 쉽게 해결될 문제입니다. 또한 남자화장실 변기가 고장난지 한참이 되어가는데 언제 고치실 건가요?시정바랍니다.","2016-07-29","2016-07-29","2016-08-01","시립도서관","처리완료","광나루로44길"
"30","자전거도로","안녕하세요새해복 많이 받으세요다름이 아니라 익산IC에서 모현동 까지 자전거 도로 만들어 주시면 좋겠다는 생각에 글 올립니다자동차 마지막차선 우측 맨끝으로 해서 폭200CM면 될것 같은데....수고 하세요","2017-02-10","2017-02-10","2017-02-14","도시재생과","처리완료","용마산로22길"
"31","번암면 죽하간 시멘트포장 중지 및 다른 방법으로 공사건의","동화댐 이면도로 포장은 재검토 하시기를 부탁드리고 필요하다면 공청회라도 해보심 어떨런지요?. 이거 이장회의에서 결정했다는 말은 들었지만 주민들에게 설명은 한적이 없는것으로 알고 있습니다.

더구나 번암 동화댐은 상수원이며 이 길은 개발을 해야할 곳도 아니다. 꼭 포장을 하려면 사람이 걸을 수 있는 둘레길에 초점을 두고 아직 진행하지 않은 남은길이라도 재설계하여 둘레길로 정비하는것이 옳을것입니다

","2018-08-14","","2018-08-23","대외협력","처리완료","디지털로31길"
"32","동진면 당상리 26-3","수신:재무과 주무관님내용:귀 청 관내 동진면 당상리 26-3의 지방세 과세, 납부 누락분이 본인의 신고에 의하여 부과·수납되었으므로 첨부자료 검토, 해당부서 확인하여 부안군 세입징수 포상금 지급 조례에 따라 포상금 지급 신청합니다.첨부1, 2: 부안군 전자민원창구 민원접수내용, 답변 자료첨부3: 부안군 세입징수 포상금 지급신청서첨부4: 신분증, 통장 사본*포상금액 등 공란은 지방세기본법 제114조에 따라 민원인 확인 불가","2018-03-08","","2018-03-19","재무과","처리완료","디지털로33길"
"33","창평리 하천보수 공사 펌프 분실","5월 29일 펌프 분실과 관련하여 글을 작성하였고, 담당자와 통화 및 시공사와 통화 하여금전적으로 보상해준다고 하였으나 여태 까지 보상은 커녕 전화하면 차일피일 미루기만 하고 여태까지보상을못받은 상황입니다.시청 담당자는 원만히 해결을 할테니 게시판 글을 삭제 해달라고 전화만 한통화 받았으며,현제까지 저희는 금전적인 보상을 못받은 상태이오니 빠른 처리 요청드립니다.","2018-07-12","2018-07-12","2018-07-16","건설과","처리완료","부일로19길"
"34","대형트럭 통행으로 인한 외벽 및 주택, 전봇대 균열발생","안녕하세요여산면에 거주중인데요 짚 바로앞 도로에 대형 트럭들이 지나다니면서 진동과 함께 외벽균열과 주택 외부 균열이 발생하고 있습니다다대형트럭들로 인한 먼지와 소음도 힘든데 진동으로 떨림이 느껴지고 균열까지 발생하니 불안합니다다조치 부탁드립니다","2018-04-01","2018-04-01","2018-04-09","녹색환경과","처리완료","문성로"
"35","(SPP-1708-0900121)불이안들어옵니다 * 첨부파일촬영시간 안내(안전신문고","전라북도 부안군 백산면 오곡리 1064불이안들어옵니다*  *(1/1) G: 2017/08/09 09:55:32G:*","2017-08-09","","2017-08-14","백산면","처리완료","문성로"
"36","택시기사 주택가에서 경적","2016년 10월25일 오전8시11분경 출근을 위해 콜택시를 불렀습니다.차량번호 7395가 배차됐다고 안내문자를 받은지 1분만에 해당 택시가 용제동 동우화인켐 사원아파트에 도착을 했고,정문에서 본인이 도착했음을 알리는 경적을 수차례 울렸습니다. 아파트 주택가이고, 아침 이른시간이며, 갓난 아이들도 많은 점을 감안해 저는 곧바로 기사님께 전화를 걸어 주차장 안쪽에 있으니 경적 그만울리시고, 비오니까 안쪽으로 들어오시면 있다고 말씀드렸습니다.그런데 입구에서 주차장으로 들어오는 그순간에도 경적을 빵 울리며 들어오는 겁니다.제가 택시에 승차하면서 직접 """"주택가에서 그렇게 빵빵 울리시면 어떻합니까, 제 휴대폰 번호 아시니 전화를 주시면 될것을.."""" 하고 말씀드렸더니 왜 입구에 안나와 있느냐, 내가 손님이 어디있는지 어떻게 아느냐며 역성을 내는 겁니다.대화가 불가능한 분인듯 하여 일단 그자리에선 좋게 넘어갔지만, 출근길 내내 그 기사님은 난폭운전에 급브레이크를 밟으며 운전했고, 전 굉장히 불쾌했습니다.분명히 콜센터를 통해 손님인 제 휴대폰번호를 받았음에도 본인이 편하자고, 화풀이용으로 경적을 주택가에서 크게 울리는건 상식적으로 말이 안되지 않습니까?서울시에서는 대중교통 버스나 택시 이용에 불편, 불만 사항이 발생시 접수를 받아 개선하는 행정센터가 구비돼 있고, 접수된 내역이 사실로 확인될 경우 그에 따른 제재조치가 진행됩니다. 익산에서는 인터넷을 통해 아무리 찾아봐도 그런 절차가 없더군요. 그나마 유사한 이곳에 글 남깁니다.","2016-10-25","2016-10-25","2016-10-26","교통행정과","처리완료","벚꽃로"
"37","(시청심사원함) ★ 김제시 관내 건물에 설치된 소화전함 실명제를 제안합니다.","김제시 관내 건물에 설치된 소화전함 실명제를 제안합니다","2016-01-10","","2016-03-22","안전총괄과","처리완료","벚꽃로"
"38","(SPP-1705-0400075)교통표지판 보수 필요","전라북도 부안군 부안읍 동중리 159-2교통표지판 보수 필요","2017-05-04","","2017-05-11","건설교통과","처리완료","벚꽃로"
"39","(안전보안관)(SPP-1806-2600168)하수구 위 물건좀 치워주세요 * 첨부파일촬영시간 안내","전라북도 부안군 부안읍 선은리 234-9하수구 위 물건좀 치워주세요*  *(1/2) C: 2018/06/26 10:21:28(2/2) C: 2018/06/26 10:21:39G:  *","2018-06-26","","2018-06-26","민원소통과","처리완료","서부샛길"
"40","택시","안녕하세요. 함열읍에는 택시를 잡아서 타거나 콜택시를 불러서 타도 기사님들이 미터기를 찍지 않고 기본요금을 5000원부터 받습니다. 기사님들께 말씀 드려도 함열은 원래 이렇게 받는다는 말만 하시는데 함열은 왜 이렇게 받나요? 그래서 택시를 쉽게 탈수도 없고 불편합니다.","2018-04-15","2018-04-15","2018-04-16","교통행정과","처리완료","탑골로5가길"
"41","미장코아루 상가 문턱이 무너지고 있어요.","안녕하세요? 저는 미장코아루 상가주 입니다. 미장 아이파크2차를 2015년 3월부터 진행하면서 도로가 갈라지고 상가 앞에 문턱이 무너지고 인도가 파헤쳐지고 있어서 그동안 수차례 민원을 제기하고 시청직원들도 나와서 사태를 파악해 가고 하였으나 이 민원은 해결되지 않고 있습니다. 내년 6월이 입주라고 하는데 그 담당자와 수차례 통화도 해보고 입씨름도 해 보았지만 해준다고만 하고 지금까지도 해결되지 않아 답답한 마음에 민원을 제기 합니다. 현대산업개발의 재산권 행사로 인해 지역민의 재산권을 침해한다는것은 민주주의에 어긋나는 일이고 이런일이 있어서는 안된다고 봅니다. 다른건 원하는게 없고 원상복구만 해주기를 바라고 시에서도 이 사항에 관심을 가져 주시기를 바랍니다.","2016-11-23","2016-11-23","2016-11-29","주택행정과","처리완료","덕릉로"
"42","은파한양수자인(조합원아파트)계약에 관한 사항","2017년 3월 5일자 은파한양수자인 조합원아파트 실태에 관한 최명재씨의 글을 읽고 저도 같은 피해자로서 이글을 올립니다. 시장님께서는 군산시민의 억울한 상황을 살피셔서 꼭 해결해 주실 것을 당부드립니다.  저는 은파한양수자인조합원아파트에 작년 3월에 계약하였으나 곧 국토부 승인이 날 것이라는 지역주택즉 말과 달리 승인은 계속 미루어졌습니다. 그러다가 어느 날 모델하우스가 철거 되는 것을 보고 상황을 물었더니 조합원 성원 미달로 승인이 나지 않아 분양이 취소되었다고 하였습니다. 그렇다면 정식으로 이 사실을 알리고 계약취소금 환불 신청 공문을 조합원에게 보냈어야 하는데도 공문이나 아무런 통보도 하지 않았으며 찾아간 그때서야 계약 취소금 환불신청을 하라는 말을 하였습니다. 그래서 작년 11월14일에 계약을 취소하고 환불신청을 하였는데 그후 1차계약금은 돌려받았으나 업무대행비 800만원은 주지 않았고 수없이 독촉을 한 결과 일부금액만 돌려주더니 또다시 미루고 미루다가 나머지 금액은 또 4월경에 준다며 사람을 우롱하고 있습니다.  계약취소금도 돌려주지 않는 사람들이 사무실을 차려놓고 4월중에 일반분양을 준비한다고 하니 이게 말이 됩니까? 최명재씨가 올렸던 글의 담당부서 답변에는 지역주택과 조합원간에 해결해야할 사항이라고 하였지만 공정한 사회를 실현해야할 공기관에서 이런 악덕업체에게 분양 허가를 내주면 안 된다고 생각합니다. 또한 군산시민 한 사람이라도 억울한 피해를 보는 일이 없도록 시장님께서 헤아려 주셔서 하루속히 업무대행비를 돌려받을 수 있도록 강력히 조치해줄 것을 다시 한 번 당부드립니다.*최명재씨   js87117@hanmail.net 으로 연락주세요","2017-03-21","2017-03-21","2017-03-28","최윤태","처리완료","덕릉로"
